#3609: polar technics
#3738: we'll be bots
#3788: catastrophic failure
#4283: fully updated
#5126: dice
#5153: error404
#6103: stranger bots
#6147: newbotics
#7491: robot corps
#8887: Marshalltown bobcats
#9974: thor
#10012: nevada nerds annymous
#10181: bluejay robotics
#11391: robotic rails
#12168: plainsmen robotics
#12233: not fast, just furious
#12783: Norwalk robowarriors purple
#14172: disco duckbots
#14560: mischief managed
#14568: Norwalk robowarriors gold
#15125: team tender
#16651: galactic robo geese
#16736: atomic narwhales
Quals 1		16736	3738	14568	4283	32	56
Quals 2		14172	3788	7491	12168	40	58
Quals 3		5153	12233	3609	12783	32	57
Quals 4		9974	6147	10181	6103	69	13
Quals 5		15125	16651	8887	5126	7	27
Quals 6		10012	11391	14568	14560	46	54
Quals 7		9974	4283	12168	15125	60	66
Quals 8		5126	3609	3738	10012	7	29
Quals 9		11391	12783	7491	6147	57	36
Quals 10		14560	14172	16651	5153	39	16
Quals 11		3788	16736	12233	10181	46	49
Quals 12		6103	7491	8887	14568	35	62
Quals 13		10181	3609	4283	11391	35	13
Quals 14		3738	12168	12783	16651	40	55
Quals 15		5126	3788	5153	6103	39	23
Quals 16		9974	8887	12233	10012	104	35
Quals 17		14560	6147	15125	16736	62	54
Quals 18		14172	12233	10181	3738	40	29
Quals 19		14568	12783	14560	5126	74	10
Quals 20		8887	12168	6147	5153	15	202
Quals 21		11391	9974	16736	14172	77	73
Quals 22		4283	16651	7491	10012	13	39
Quals 23		3609	15125	6103	3788	54	54
Quals 24		12783	8887	4283	14172	91	5
Quals 25		16651	14568	3788	9974	80	76
Quals 26		15125	11391	3738	5153	31	34
Quals 27		10181	7491	3609	14560	27	14
Quals 28		10012	6103	12168	16736	40	31
Quals 29		5126	12233	6147	4283	31	34
Quals 30		5153	7491	16736	9974	9	96
Quals 31		14560	3738	3788	8887	34	41
Quals 32		10012	10181	12783	15125	35	63
Quals 33		6103	16651	12233	11391	38	26
Quals 34		14172	14568	6147	3609	59	48
Quals 35		12168	10181	11391	5126	27	7
